"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9600,"GB@Atl 04:25PM ET",22.714,"Atl"
"WR","Mike Evans",8100,"Oak@TB 01:00PM ET",22.250,"TB"
"WR","T.Y. Hilton",7900,"KC@Ind 01:00PM ET",20.986,"Ind"
"WR","Brandon Marshall",7800,"NYJ@Cle 01:00PM ET",13.600,"NYJ"
"RB","David Johnson",7700,"Ari@Car 01:00PM ET",26.343,"Ari"
"WR","Amari Cooper",7600,"Oak@TB 01:00PM ET",17.200,"Oak"
"QB","Tom Brady",7600,"NE@Buf 01:00PM ET",27.020,"NE"
"QB","Aaron Rodgers",7500,"GB@Atl 04:25PM ET",21.573,"GB"
"WR","Larry Fitzgerald",7500,"Ari@Car 01:00PM ET",17.786,"Ari"
"WR","DeAndre Hopkins",7400,"Det@Hou 01:00PM ET",13.714,"Hou"
"QB","Cam Newton",7400,"Ari@Car 01:00PM ET",23.928,"Car"
"RB","Christine Michael",7300,"Sea@NO 01:00PM ET",16.600,"Sea"
"WR","Brandin Cooks",7300,"Sea@NO 01:00PM ET",18.750,"NO"
"QB","Russell Wilson",7200,"Sea@NO 01:00PM ET",14.593,"Sea"
"WR","Jordy Nelson",7200,"GB@Atl 04:25PM ET",15.183,"GB"
"WR","Kelvin Benjamin",7200,"Ari@Car 01:00PM ET",15.900,"Car"
"RB","Ezekiel Elliott",7200,"Phi@Dal 08:30PM ET",22.017,"Dal"
"RB","LeSean McCoy",7100,"NE@Buf 01:00PM ET",20.071,"Buf"
"WR","Dez Bryant",7100,"Phi@Dal 08:30PM ET",11.667,"Dal"
"QB","Matt Ryan",7000,"GB@Atl 04:25PM ET",24.989,"Atl"
"TE","Rob Gronkowski",7000,"NE@Buf 01:00PM ET",14.500,"NE"
"QB","Drew Brees",6900,"Sea@NO 01:00PM ET",26.507,"NO"
"WR","Doug Baldwin",6900,"Sea@NO 01:00PM ET",15.267,"Sea"
"QB","Andrew Luck",6800,"KC@Ind 01:00PM ET",23.980,"Ind"
"RB","Spencer Ware",6800,"KC@Ind 01:00PM ET",18.950,"KC"
"WR","Michael Crabtree",6700,"Oak@TB 01:00PM ET",18.014,"Oak"
"WR","Marvin Jones Jr.",6600,"Det@Hou 01:00PM ET",17.943,"Det"
"RB","Devonta Freeman",6500,"GB@Atl 04:25PM ET",15.814,"Atl"
"WR","Emmanuel Sanders",6500,"SD@Den 04:05PM ET",15.843,"Den"
"TE","Greg Olsen",6500,"Ari@Car 01:00PM ET",20.000,"Car"
"QB","Matthew Stafford",6400,"Det@Hou 01:00PM ET",21.737,"Det"
"RB","Matt Forte",6400,"NYJ@Cle 01:00PM ET",16.243,"NYJ"
"WR","Randall Cobb",6400,"GB@Atl 04:25PM ET",16.017,"GB"
"RB","Lamar Miller",6300,"Det@Hou 01:00PM ET",15.400,"Hou"
"WR","Julian Edelman",6300,"NE@Buf 01:00PM ET",10.286,"NE"
"QB","Ryan Fitzpatrick",6200,"NYJ@Cle 01:00PM ET",12.249,"NYJ"
"WR","Demaryius Thomas",6200,"SD@Den 04:05PM ET",15.657,"Den"
"RB","Doug Martin",6100,"Oak@TB 01:00PM ET",8.450,"TB"
"TE","Jimmy Graham",6100,"Sea@NO 01:00PM ET",13.133,"Sea"
"WR","Terrelle Pryor Sr.",6100,"NYJ@Cle 01:00PM ET",15.549,"Cle"
"QB","Philip Rivers",6100,"SD@Den 04:05PM ET",19.946,"SD"
"WR","Jeremy Maclin",6000,"KC@Ind 01:00PM ET",11.033,"KC"
"WR","Will Fuller",6000,"Det@Hou 01:00PM ET",13.817,"Hou"
"QB","Carson Palmer",6000,"Ari@Car 01:00PM ET",16.167,"Ari"
"QB","Derek Carr",5900,"Oak@TB 01:00PM ET",19.589,"Oak"
"RB","C.J. Anderson",5900,"SD@Den 04:05PM ET",15.071,"Den"
"QB","Alex Smith",5800,"KC@Ind 01:00PM ET",15.940,"KC"
"RB","Jacquizz Rodgers",5800,"Oak@TB 01:00PM ET",10.260,"TB"
"WR","Willie Snead",5800,"Sea@NO 01:00PM ET",16.260,"NO"
"QB","Dak Prescott",5800,"Phi@Dal 08:30PM ET",18.190,"Dal"
"QB","Jameis Winston",5700,"Oak@TB 01:00PM ET",19.457,"TB"
"QB","Geno Smith",5700,"NYJ@Cle 01:00PM ET",4.470,"NYJ"
"RB","Melvin Gordon",5700,"SD@Den 04:05PM ET",20.657,"SD"
"WR","Jordan Matthews",5700,"Phi@Dal 08:30PM ET",12.567,"Phi"
"QB","Tony Romo",5600,"Phi@Dal 08:30PM ET",0,"Dal"
"RB","Jamaal Charles",5500,"KC@Ind 01:00PM ET",4.467,"KC"
"WR","Donte Moncrief",5400,"KC@Ind 01:00PM ET",10.150,"Ind"
"QB","Brock Osweiler",5400,"Det@Hou 01:00PM ET",12.760,"Hou"
"QB","Kevin Hogan",5300,"NYJ@Cle 01:00PM ET",21.400,"Cle"
"WR","Ty Montgomery",5300,"GB@Atl 04:25PM ET",7.000,"GB"
"RB","LeGarrette Blount",5300,"NE@Buf 01:00PM ET",17.386,"NE"
"QB","Josh McCown",5200,"NYJ@Cle 01:00PM ET",16.400,"Cle"
"QB","Tyrod Taylor",5200,"NE@Buf 01:00PM ET",17.997,"Buf"
"WR","Travis Benjamin",5200,"SD@Den 04:05PM ET",13.771,"SD"
"WR","Golden Tate",5100,"Det@Hou 01:00PM ET",11.643,"Det"
"RB","Tevin Coleman",5100,"GB@Atl 04:25PM ET",16.343,"Atl"
"QB","Trevor Siemian",5100,"SD@Den 04:05PM ET",14.273,"Den"
"QB","Carson Wentz",5100,"Phi@Dal 08:30PM ET",15.043,"Phi"
"QB","Scott Tolzien",5000,"KC@Ind 01:00PM ET",0,"Ind"
"QB","Nick Foles",5000,"KC@Ind 01:00PM ET",0,"KC"
"QB","Tyler Bray",5000,"KC@Ind 01:00PM ET",0,"KC"
"QB","Mike Glennon",5000,"Oak@TB 01:00PM ET",0,"TB"
"QB","Ryan Griffin",5000,"Oak@TB 01:00PM ET",0,"TB"
"QB","Matt McGloin",5000,"Oak@TB 01:00PM ET",0.000,"Oak"
"QB","Connor Cook",5000,"Oak@TB 01:00PM ET",0,"Oak"
"QB","Luke McCown",5000,"Sea@NO 01:00PM ET",0,"NO"
"QB","Trevone Boykin",5000,"Sea@NO 01:00PM ET",2.700,"Sea"
"RB","Mark Ingram",5000,"Sea@NO 01:00PM ET",14.967,"NO"
"WR","Michael Thomas",5000,"Sea@NO 01:00PM ET",16.783,"NO"
"QB","Dan Orlovsky",5000,"Det@Hou 01:00PM ET",0,"Det"
"QB","Brandon Weeden",5000,"Det@Hou 01:00PM ET",0,"Hou"
"QB","Tom Savage",5000,"Det@Hou 01:00PM ET",0,"Hou"
"RB","Theo Riddick",5000,"Det@Hou 01:00PM ET",17.220,"Det"
"QB","Bryce Petty",5000,"NYJ@Cle 01:00PM ET",0,"NYJ"
"QB","Cody Kessler",5000,"NYJ@Cle 01:00PM ET",11.416,"Cle"
"QB","Christian Hackenberg",5000,"NYJ@Cle 01:00PM ET",0,"NYJ"
"QB","Matt Schaub",5000,"GB@Atl 04:25PM ET",0.000,"Atl"
"QB","Brett Hundley",5000,"GB@Atl 04:25PM ET",0,"GB"
"QB","EJ Manuel",5000,"NE@Buf 01:00PM ET",0.567,"Buf"
"QB","Jimmy Garoppolo",5000,"NE@Buf 01:00PM ET",12.347,"NE"
"QB","Cardale Jones",5000,"NE@Buf 01:00PM ET",0,"Buf"
"QB","Kellen Clemens",5000,"SD@Den 04:05PM ET",-0.033,"SD"
"QB","Austin Davis",5000,"SD@Den 04:05PM ET",0,"Den"
"QB","Paxton Lynch",5000,"SD@Den 04:05PM ET",12.060,"Den"
"QB","Derek Anderson",5000,"Ari@Car 01:00PM ET",7.840,"Car"
"QB","Drew Stanton",5000,"Ari@Car 01:00PM ET",3.265,"Ari"
"QB","Joe Webb",5000,"Ari@Car 01:00PM ET",0.325,"Car"
"QB","Mark Sanchez",5000,"Phi@Dal 08:30PM ET",0,"Dal"
"QB","Chase Daniel",5000,"Phi@Dal 08:30PM ET",0.000,"Phi"
"TE","Travis Kelce",4900,"KC@Ind 01:00PM ET",11.100,"KC"
"WR","Davante Adams",4900,"GB@Atl 04:25PM ET",15.833,"GB"
"RB","Jonathan Stewart",4900,"Ari@Car 01:00PM ET",10.167,"Car"
"WR","Quincy Enunwa",4800,"NYJ@Cle 01:00PM ET",12.129,"NYJ"
"RB","James White",4800,"NE@Buf 01:00PM ET",11.229,"NE"
"WR","Cole Beasley",4800,"Phi@Dal 08:30PM ET",15.117,"Dal"
"RB","Frank Gore",4700,"KC@Ind 01:00PM ET",15.129,"Ind"
