playername,points
Aaron Rodgers GB ,20.37
Tom Brady NE ,20.25
Matt Ryan ATL ,23.39
Russell Wilson SEA ,19.75
Andy Dalton CIN ,18.72
Derek Carr OAK ,19.48
Andrew Luck IND ,19.26
Matthew Stafford DET ,18.75
Jameis Winston TB ,18.49
Drew Brees NO ,18.37
Cam Newton CAR ,18.69
Alex Smith KC ,17.47
Marcus Mariota TEN ,17.48
Ryan Fitzpatrick NYJ ,17.6
Tyrod Taylor BUF ,17.17
Carson Palmer ARI ,17.46
Kirk Cousins WAS ,17.22
Dak Prescott DAL ,16.55
Blake Bortles JAC ,16.44
Brock Osweiler HOU ,16.1
Trevor Siemian DEN ,15.25
Philip Rivers SD ,15.24
Carson Wentz PHI ,14.8
Josh McCown CLE ,14.88
Sam Bradford MIN ,14.44
Jay Cutler CHI ,13.07
Christian Hackenberg NYJ ,0.35
Shaun Hill MIN ,0.26
Nick Foles KC ,0.26
Mike Glennon TB ,0.26
Jimmy Garoppolo NE ,0.23
AJ McCarron CIN ,0.25
Chad Henne JAC ,0.23
Paxton Lynch DEN ,0.23
Matt Schaub ATL ,0.22
Matt McGloin OAK ,0.21
Colt McCoy WAS ,0.2
Tom Savage HOU ,0.21
Matt Cassel TEN ,0.21
Scott Tolzien IND ,0.21
Chase Daniel PHI ,0.18
Dan Orlovsky DET ,0.19
Luke McCown NO ,0.19
Matt Barkley CHI ,0.18
Kellen Clemens SD ,0.15
Derek Anderson CAR ,0.13
Drew Stanton ARI ,0.15
E.J. Manuel BUF ,0.14
Trevone Boykin SEA ,0.09
Mark Sanchez DAL ,0.08
Brett Hundley GB ,0.06
Bryce Petty NYJ ,0.05
Kevin Hogan CLE ,0.03
Austin Davis DEN ,0.0
Jeff Driskel CIN ,0.0
Joe Webb CAR ,0.0
Stephen Morris IND ,0.0
Kellen Moore DAL ,0.0
Jameill Showers DAL ,0.0
Joe Callahan CLE ,0.0
Robert Griffin CLE ,0.0
Matt Simms ATL ,0.0
Joel Stave SEA ,0.0
Ryan Griffin HOU ,0.0
Nate Sudfeld WAS ,0.0
Zac Dysert ARI ,0.0
Brandon Allen JAC ,0.0
Alex Tanney TEN ,0.0
Cardale Jones BUF ,0.0
Connor Cook OAK ,0.0
Garrett Grayson NO ,0.0
Aaron Murray PHI ,0.0
Brandon Weeden HOU ,0.0
Jake Rudock DET ,0.0
David Johnson ARI ,21.78
DeMarco Murray TEN ,18.86
Ezekiel Elliott DAL ,18.53
Spencer Ware KC ,18.14
Devonta Freeman ATL ,19.83
Matt Forte NYJ ,17.38
Devontae Booker DEN ,16.85
Christine Michael SEA ,16.2
Jacquizz Rodgers TB ,14.66
Matt Asiata MIN ,14.7
Melvin Gordon SD ,15.16
Frank Gore IND ,13.67
Lamar Miller HOU ,13.39
Giovani Bernard CIN ,14.19
