playername,points
Jameis Winston,18.79
Philip Rivers,15.01
Derek Carr,18.78
Drew Brees,20.69
Russell Wilson,20.67
Trevor Siemian,15.03
Carson Palmer,18.19
Sam Bradford,15.51
Jay Cutler,14.96
Dak Prescott,17.34
Carson Wentz,16.52
Cam Newton,20.57
Tyrod Taylor,18.83
Tom Brady,25.73
Andy Dalton,18.33
Matthew Stafford,19.05
Kirk Cousins,17.11
Marcus Mariota,18.34
Blake Bortles,18.07
Brock Osweiler,16.79
Aaron Rodgers,21.74
Ryan Fitzpatrick,17.12
Josh McCown,14.45
Andrew Luck,20.89
Alex Smith,16.33
Matt Ryan,19.5
player,fpts
Latavius Murray,12.28
Jalen Richard,3.5
Jacquizz Rodgers,14.91
Peyton Barber,4.25
Kenneth Farrow,1.52
Melvin Gordon,17.29
DeAndre Washington,5.78
John Kuhn,3.2
C.J. Prosise,3.7
Christine Michael,19.98
Mark Ingram,13.51
Travaris Cadet,5.38
Tim Hightower,2.52
Dexter McCluster,2.98
Devontae Booker,16.07
Alfred Morris,3.04
Ezekiel Elliott,17.35
Matt Asiata,11.42
Jordan Howard,11.22
Jeremy Langford,4.31
Ka'Deem Carey,6.93
Darren Sproles,9.45
Ryan Mathews,10.53
David Johnson,21.38
Kapri Bibbs,3.46
Andre Ellington,2.65
Fozzy Whittaker,4.81
Jonathan Stewart,12.05
Reggie Bush,7.02
Mike Gillislee,12.52
Theo Riddick,11.51
Robert Kelley,10.4
Dwayne Washington,3.91
Lamar Miller,15.56
Zach Zenner,2.69
Alfred Blue,4.67
Giovani Bernard,14.31
Jeremy Hill,9.96
Chris Ivory,6.28
T.J. Yeldon,9.35
DeMarco Murray,22.14
Derrick Henry,4.49
Chris Thompson,9.51
Knile Davis,4.64
Devonta Freeman,18.88
Isaiah Crowell,9.29
Bilal Powell,8.92
Duke Johnson,9.08
LeGarrette Blount,13.17
James White,10.68
Matt Forte,16.6
Josh Ferguson,3.51
Charcandrick West,4.5
Terron Ward,5.91
Spencer Ware,20.24
Frank Gore,14
Robert Turbin,2.11
player,fpts
Adam Humphries,10
Russell Shepard,9.33
Cecil Shorts,4.92
Mike Evans,22.76
Andre Holmes,2.72
Travis Benjamin,10.33
Dontrelle Inman,6.08
Bennie Fowler,2.22
Emmanuel Sanders,16.02
Demaryius Thomas,14.78
Tyrell Williams,11.33
Seth Roberts,8.64
Michael Crabtree,16.3
Jermaine Kearse,8.13
Tyler Lockett,7.12
Doug Baldwin,19.46
Walter Powell,6.16
Justin Hunter,11.02
Paul Richardson,4.06
Brandin Cooks,15.86
Amari Cooper,18.17
Michael Thomas,13.62
Brandon Coleman,4.82
Willie Snead,14.34
Jordan Norwood,3.19
Larry Fitzgerald,18.82
Charles Johnson,2.72
Adam Thielen,9.67
Dez Bryant,15.46
Brice Butler,4.91
Cole Beasley,9.83
Stefon Diggs,14.23
Alshon Jeffery,13.58
Cordarrelle Patterson,9.74
Josh Bellamy,4.24
Deonte Thompson,1.77
Cameron Meredith,10.82
Terrance Williams,9.1
Josh Huff,8.15
Kelvin Benjamin,16.66
J.J. Nelson,6.32
John Brown,12.82
Michael Floyd,7.11
Ted Ginn,7.68
Devin Funchess,6.49
Dorial Green-Beckham,7.27
Nelson Agholor,7.63
Jordan Matthews,11.42
Philly Brown,5.81
Robert Woods,10.73
Malcolm Mitchell,4.29
Golden Tate,12.75
Anquan Boldin,10.26
Marvin Jones,14.17
James Wright,1.52
Tyler Boyd,6.42
Andre Roberts,2.34
DeAndre Hopkins,17.08
Ty Montgomery,15.91
Jaelen Strong,6.64
Braxton Miller,2.93
Will Fuller,16.3
Brandon LaFell,9.78
A.J. Green,19.22
Rashad Greene,3.64
Tajae Sharpe,7.79
Marqise Lee,9
Allen Hurns,10.68
Allen Robinson,17.3
Kendall Wright,7.42
Andre Johnson,4.35
Jamison Crowder,10.36
Pierre Garcon,11.13
DeSean Jackson,11.3
Rishard Matthews,9.54
Jordy Nelson,18.07
Davante Adams,16.41
Robby Anderson,5.29
Terrelle Pryor,17.1
Charone Peake,4.94
Quincy Enunwa,10.48
Brandon Marshall,18.81
Andrew Hawkins,8.33
Ricardo Louis,6.15
Chris Hogan,8.48
Danny Amendola,5.45
Julian Edelman,16.68
Rashard Higgins,3.06
Donte Moncrief,10.2
Phillip Dorsett,7.21
Justin Hardy,5.2
Mohamed Sanu,9.63
Julio Jones,25.56
Jeff Janis,5.15
Aldrick Robinson,4.97
Jeremy Maclin,13.59
T.Y. Hilton,19.28
Tyreek Hill,6.6
Albert Wilson,4.2
Chris Conley,7.43
player,fpts
Luke Stocker,2.41
Antonio Gates,7.94
Hunter Henry,7.8
